1064107552788455515,primetogo,ทั้งนี้ ข้อมูลบนๆ นี้เป็นความเห็นส่วนตัวผมะครับ ไม่ใช่ fact จุดประสงค์ก็เพื่อให้พวกเราตระหนักรู้ว่าภัยคุกคามไม่ได้ไกลตัวเราเลยครับ,2023-01-15T09:03:30.747000+00:00
1064107410341507133,primetogo,เอาเข้าจริง user ปกติอย่างเราไม่เคยสังเกตมือถือตัวเองบ่อยๆ ใช่มะ พอมันค้างทีก็รีที หรือพอมันแปลก ๆ ก็อัพเดตๆ ล้างไฟล์ขยะ,2023-01-15T09:02:56.785000+00:00
1064107132787642369,primetogo,จะที่เคยไปนั่งส่อง ๆ บรรดาคนดังเค้าตั้งแผงขายกัน,2023-01-15T09:01:50.611000+00:00
1064106943343497246,primetogo,แต่ข้อมูลพฤติกรรมถ้านำไปขายในตลาดได้ราคาก็สูงใช่เล่น,2023-01-15T09:01:05.444000+00:00
1064106864956157953,primetogo,พวก banking application น่าจะแค่ bonus,2023-01-15T09:00:46.755000+00:00
1064106747482083429,primetogo,นอกจากจะ key logger แล้ว ยังสามารถใช้ศึกษาพฤติกรรมของเหยื่อได้ด้วย,2023-01-15T09:00:18.747000+00:00
1064106616418467922,primetogo,ประโยชน์อย่างนึงของ zero day ใน mobile os ผมเข้าใจว่าใช้สอดแนมครับ,2023-01-15T08:59:47.499000+00:00
1064106422750679111,IntegrationByPart,ผมเลยว่าเอา 0 day ไปขายน่าจะได้ตังมากกว่าเอามาสุ่ม Hack ตังจาก user ซึ่งไม่รู้มีเงินเท่าไหร่นะ,2023-01-15T08:59:01.325000+00:00
1064106149881860166,primetogo,ซึ่งคนที่ได้ประโยชน์จาก zero day ในไทยนั้น น่าจะมีไม่กี่เจ้า,2023-01-15T08:57:56.268000+00:00
1064105976661282966,primetogo,มันมี zero day ที่เคยเป็นข่าวในไทยด้วยครับ แต่ในกรณีนี้คือสายชาร์จมันไม่น่าทำงานได้ถ้าเจ้าของไม่ทะลึ่งเปิด developer mode,2023-01-15T08:57:14.969000+00:00
1064105776068689940,IntegrationByPart,แต่มันก็ต้องเปิดโดยเจ้าของเครื่องก่อนหรือป่าวครับ ส่วน 0 day ที่สามารถแค่เสียบสายแล้วเข้าได้แบบทะลุทะลวงเลย ผมว่ามันน่าจะแพงมากๆ เกินกว่าเอามาสุ่มโจมตีแบบนี้,2023-01-15T08:56:27.144000+00:00
1064105442944491530,primetogo,นี่ยังไม่พูดถึง zero click ที่ใช้ zero day ของ mobile os ที่มันไม่ persistence ที่ต้องงระวังด้วยนะ T T,2023-01-15T08:55:07.721000+00:00
1064105188341841930,primetogo,ปกติสิทธิ์ developer mode ของ android น่าจะเข้าได้ถึงแทบทุกอย่างเลยถ้าเจ้าของเครื่องอนุญาต,2023-01-15T08:54:07.019000+00:00
1064104413519691786,primetogo,ยังดี ssl certificate มันเป็น selfsign เลยดูง่าย แต่ถ้าดันใช้ trusted certificate ที่ขโมยมาได้คือจบเลย,2023-01-15T08:51:02.287000+00:00
1064104222259421265,primetogo,สมัยเรียนเคยโดนเพื่อน spoofing wifi authen ของมหาลัยรอบนึง,2023-01-15T08:50:16.687000+00:00
1064104024837726239,primetogo,แต่เข้าใจว่าถ้าซื้ออุปกรณ์มาทำเองน่าจะถูกกว่า,2023-01-15T08:49:29.618000+00:00
1064103872907460718,primetogo,จุดประสงค์ที่เค้าจำหน่ายเพื่อ red team โดยเฉพาะ,2023-01-15T08:48:53.395000+00:00
1064103524868309064,primetogo,ถ้าขี้เกียจทำเองมีซื้อนะฮะ..
https://shop.hak5.org/,2023-01-15T08:47:30.416000+00:00
1064096742229946388,narze,แต่สงสัยว่าถ้ามันเป็น input เนี่ย iPhone ไม่ถามก่อนเหรอว่า allow หรือเปล่า,2023-01-15T08:20:33.309000+00:00
1064096568388636692,narze,แต่ถ้าจะ cloud ต้องตัว elite https://o.mg.lol/elite/,2023-01-15T08:19:51.862000+00:00
1064096497144168499,narze,ใช่ๆ ทำได้หลายอย่าง,2023-01-15T08:19:34.876000+00:00
1064095424073437266,IntegrationByPart,นี้*,2023-01-15T08:15:19.036000+00:00
1064095255630200912,IntegrationByPart,มันทำได้แบบ key logger อันที่ตามที่ผมฟังมานะ,2023-01-15T08:14:38.876000+00:00
1064095154585219072,IntegrationByPart,เพราะเสียบเฉยๆมันแฮ็คไม่ได้ เดี๋ยวนี้ android iOS มันเช็ค trust device ก่อนให้ทำอะไร,2023-01-15T08:14:14.785000+00:00
1064095109106384946,narze,มันส่งผ่าน wifi นี่ ไม่ได้ cloud based เป็นแค่ PoC,2023-01-15T08:14:03.942000+00:00
1064095020128419881,IntegrationByPart,แต่แกบ่นอีจ่ากว่าพากันตื่นตูมไปหมดแล้ว,2023-01-15T08:13:42.728000+00:00
1064094964855873606,narze,ถถถ,2023-01-15T08:13:29.550000+00:00
1064094956505022524,IntegrationByPart,อยากส่งให้รุ่นพี่ที่ทำสาย security แกะดูครับ,2023-01-15T08:13:27.559000+00:00
1064094904529190943,narze,แต่ดู legit ใช้ shopify,2023-01-15T08:13:15.167000+00:00
